datatime,external_event
2020-03-24 20:29:22,A
2020-03-24 20:29:23,A
2020-03-24 20:29:24,A
2020-04-02 09:35:19,B
2020-04-02 09:35:20,B
2020-04-02 09:35:21,B
2020-04-02 09:35:22,B
2020-04-02 09:35:23,B
2020-04-02 09:35:24,B
2020-04-02 09:35:25,B
2020-04-02 09:35:26,B
2020-04-02 09:35:27,B
2020-04-02 09:35:28,B
2020-04-02 09:35:29,B
2020-04-02 09:35:30,B
2020-04-02 09:35:31,B
2020-04-02 09:35:32,B
2020-04-02 09:35:33,B
2020-04-02 09:35:34,B
2020-03-26 11:38:33,B
2020-03-26 11:38:34,B
2020-03-26 11:38:35,B
2020-03-26 11:38:36,B
2020-03-26 11:38:37,B
2020-03-26 11:38:38,B
2020-03-26 11:38:39,B
2020-03-26 11:38:40,B
2020-03-26 11:38:41,B
2020-03-26 11:38:42,B
2020-03-26 11:38:43,B
2020-03-26 11:38:44,B
2020-03-26 11:38:45,B
2020-03-26 11:38:46,B
2020-03-26 11:38:47,B
2020-03-26 11:38:48,B
2020-03-22 07:43:35,B
2020-03-22 07:43:36,B
2020-03-22 07:43:37,B
2020-03-22 07:43:38,B
2020-03-22 07:43:39,B
2020-03-22 07:43:40,B
2020-03-22 07:43:41,B
2020-03-22 07:43:42,B
2020-03-22 07:43:43,B
2020-03-22 07:43:44,B
2020-03-22 07:43:45,B
2020-03-22 07:43:46,B
2020-03-22 07:43:47,B
2020-03-22 07:43:48,B
2020-03-22 07:43:49,B
2020-03-22 07:43:50,B
2020-03-24 11:12:23,B
2020-03-24 11:12:24,B
2020-03-24 11:12:25,B
2020-03-24 11:12:26,B
2020-03-24 11:12:27,B
2020-03-24 11:12:28,B
2020-03-24 11:12:29,B
2020-03-24 11:12:30,B
2020-03-24 11:12:31,B
2020-03-24 11:12:32,B
2020-03-24 11:12:33,B
2020-03-24 11:12:34,B
2020-03-24 11:12:35,B
2020-03-24 11:12:36,B
2020-03-24 11:12:37,B
2020-03-24 11:12:38,B
2020-03-30 10:59:45,B
2020-03-30 10:59:46,B
2020-03-30 10:59:47,B
2020-03-30 10:59:48,B
2020-03-30 10:59:49,B
2020-03-30 10:59:50,B
2020-03-30 10:59:51,B
2020-03-30 10:59:52,B
2020-03-30 10:59:53,B
2020-03-30 10:59:54,B
2020-03-30 10:59:55,B
2020-03-30 10:59:56,B
2020-03-30 10:59:57,B
2020-03-30 10:59:58,B
2020-03-30 10:59:59,B
2020-03-30 11:00:00,B
2020-03-28 09:39:08,B
2020-03-28 09:39:09,B
2020-03-28 09:39:10,B
2020-03-28 09:39:11,B
2020-03-28 09:39:12,B
2020-03-28 09:39:13,B
2020-03-28 09:39:14,B
2020-03-28 09:39:15,B
2020-03-28 09:39:16,B
2020-03-28 09:39:17,B
2020-03-28 09:39:18,B
2020-03-28 09:39:19,B
2020-03-28 09:39:20,B
2020-03-28 09:39:21,B
2020-03-28 09:39:22,B
